Name;Sample;a;d;f;a0Links;a0Rechts;afLinks;afRechts;N
260108-1_A;A;1,2;25;1,2;108,669;0;126;21,52;30000
260108-1_B;B;1,2;25;1,2;30,361;24,25;30,98;32,87;30000
260108-2_A;A;1,2;25;1,2;31,12;21,98;34,86;27,73;30000
260108-2_B;B;1,2;25;1,2;110,08;14,9;110,83;28,54;30000
260109-1_A;A;1,2;25;1,2;65,19;31,89;75,8;40,6;50000
260109-1_B;B;1,2;25;1,2;150,76;39,23;148,6;52,66;50000
260109-2_A;A;1,2;25;1,2;53,5;43,34;35,3;54,66;50000
260109-2_B;B;1,2;25;1,2;0;0;0;0;50000
260109-1_A;A;1,2;25;1,2;65,19;31,89;87,57;45,85;75000
260109-1_B;B;1,2;25;1,2;150,76;39,23;143,46;49,68;75000
260109-2_A;A;1,2;25;1,2;53,5;43,34;90;77,1258;75000
260109-2_B;B;1,2;25;1,2;0;0;103,28;87,29;75000
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
